OBJ_ID,BRIGHTNESS,MAGNITUDE,MAX_X,MAX_Y,SKY,UPPERLIMIT,X,Y,GEO_SEMI_MAJOR,GEO_SEMI_MINOR,POSITION_ANGLE,ELLIPTICITY,AREA,SEMI_MAJOR
5918,5.1266,-1.775,3771,2904,0.005664,0.93092,3762.242,2895.885,6.169,2.836,45.707,0.556,194,5.88
5919,4.478,-1.628,942,3806,0.006749,0.82178,935.146,3798.974,4.376,3.367,45.97,0.267,171,4.327
5920,5.6835,-1.887,1719,3809,0.005107,0.9355,1710.19,3800.02,5.057,3.667,29.746,0.276,201,4.715
5921,5.9213,-1.931,3195,3819,0.006433,1.055,3185.035,3805.526,6.813,3.908,-88.162,0.432,246,6.67
5922,42.368,-4.068,1210,2924,0.006019,1.7023,1188.555,2905.723,9.092,6.818,-1.258,0.283,668,7.055
5923,7.6218,-2.205,218,3820,0.006553,1.2427,205.698,3810.275,5.626,5.301,-19.896,0.043,325,5.308
5924,8.3593,-2.305,3519,3822,0.006906,1.1459,3508.023,3810.916,5.885,5.431,-48.497,0.096,361,5.663
5925,7.6001,-2.202,4177,3819,0.006499,0.86375,4168.769,3811.084,4.432,3.768,-5.535,0.188,204,3.908
5926,7.9593,-2.252,2698,3821,0.00626,1.0911,2686.133,3813.589,5.616,3.743,-13.709,0.251,243,4.988
5927,7.4479,-2.18,2109,3839,0.005541,1.1529,2098.003,3825.004,8.216,4.815,-73.73,0.431,331,8.209
5928,27.553,-3.6,253,3852,0.006323,2.0603,221.943,3833.485,16.18,7.489,-19.358,0.528,1080,15.338
5929,3.9326,-1.487,3837,3827,0.00706,0.69851,3829.454,3819.177,4.177,3.267,16.899,0.279,152,4.365
5930,9.2251,-2.412,348,3837,0.005146,1.2265,335.775,3826.264,7.141,5.024,1.733,0.323,365,7.162
5931,6.5409,-2.039,447,3839,0.005263,1.0339,439.581,3827.547,5.367,4.107,74.107,0.226,248,4.915
5932,134.12,-5.319,360,2976,0.004443,3.024,335.35,2935.119,18.487,11.312,88.136,0.369,2151,13.897
5933,10.072,-2.508,380,2916,0.004215,1.1222,369.105,2904.427,7.897,4.368,-27.948,0.444,335,7.5
5934,3.4334,-1.339,322,2941,0.004474,0.70896,317.853,2933.104,3.885,2.354,-71.463,0.376,105,3.569
5935,4.2544,-1.572,2218,2907,0.005262,0.84302,2210.749,2898.914,4.957,3.386,3.183,0.333,173,4.671
5936,42.673,-4.075,2585,3898,0.005547,1.9796,2568.17,3864.908,17.578,8.64,-79.512,0.522,1145,16.59
5937,17.371,-3.1,2587,3847,0.005095,1.3999,2567.47,3831.474,11.609,4.261,-29.643,0.679,552,11.599
5938,4.3626,-1.599,1613,3837,0.005154,0.74543,1604.62,3831.641,4.88,2.982,-18.847,0.41,166,4.722
5939,17.78,-3.125,4023,2928,0.005515,1.25,4013.378,2919.773,5.739,4.439,19.351,0.167,316,4.295
5940,21.106,-3.311,4039,2924,0.005327,1.3294,4030.105,2912.398,6.967,5.746,-85.566,0.077,412,5.301
5941,10.151,-2.516,4057,2922,0.005191,1.0119,4046.656,2914.541,4.718,3.829,14.987,0.23,216,4.231
5942,219.1,-5.852,1479,2956,0.005972,2.6511,1452.943,2928.687,13.652,11.035,31.88,0.155,1653,8.059
5943,44.036,-4.11,1496,2979,0.005404,2.1928,1475.847,2952.089,12.792,6.86,66.66,0.542,947,12.135
5944,2.9373,-1.17,3432,2914,0.004761,0.68249,3424.206,2908.123,4.175,2.188,22.139,0.549,109,4.297
5945,17.574,-3.112,1915,2929,0.004555,1.5461,1898.878,2918.252,7.113,4.912,-4.017,0.314,416,6.05
5946,15.051,-2.944,225,2942,0.004854,1.2737,209.559,2927.229,9.088,4.406,-51.531,0.535,437,8.667
5947,3.6173,-1.396,83,2925,0.005684,0.70117,76.438,2918.445,3.614,3.043,29.891,0.233,129,3.404
5948,126.83,-5.258,2471,2959,0.006061,2.078,2451.178,2935.983,10.909,9.012,83.36,0.121,1188,7.122
5949,223.14,-5.871,2783,3906,0.007871,3.0858,2757.049,3865.68,15.897,10.847,-59.291,0.245,1976,10.064
5950,44.985,-4.133,2758,3869,0.006927,2.4299,2725.707,3846.293,14.365,8.651,1.229,0.407,1181,13.064
5951,6.339,-2.005,2790,3890,0.008375,0.89364,2782.194,3881.24,5.393,3.205,69.123,0.418,195,4.995
5952,5.1262,-1.774,2790,3847,0.007527,0.86072,2781.521,3837.644,5.805,3.063,-55.734,0.467,208,5.633
5953,40.537,-4.02,1382,2955,0.00528,1.7652,1368.03,2933.037,9.628,6.321,53.747,0.305,671,7.085
5954,6.7693,-2.076,3763,2938,0.005342,1.2963,3750.576,2928.523,6.346,4.575,20.696,0.337,349,6.314
5955,20.184,-3.263,1224,3858,0.004628,1.906,1192.529,3846.336,15.981,4.911,12,0.704,705,15.861
5956,7.2784,-2.155,3309,3852,0.005645,1.0124,3295.158,3839.725,6.857,4.572,-2.083,0.432,338,6.985
5957,72.02,-4.644,2590,2973,0.007201,2.106,2564.123,2944.887,13.055,9.129,73.628,0.339,1173,10.245
5958,18.26,-3.154,1371,3878,0.005306,1.5577,1355.011,3855.579,11.595,5.696,58.575,0.534,613,11.066
5959,5.1526,-1.78,904,3863,0.006723,1.013,893.874,3853.171,6.124,4.067,-70.786,0.323,227,5.885
5960,20.83,-3.297,2862,3876,0.007331,1.6517,2844.297,3856.399,8.865,7.327,-40.426,0.16,728,8.177
5961,11.542,-2.656,1720,3876,0.005121,1.4297,1705.507,3857.93,9.455,4.197,61.656,0.591,405,9.012
5962,60.532,-4.455,3909,3887,0.005677,2.3766,3863.232,3865.576,19.791,8.124,13,0.626,1604,18.826
5963,90.792,-4.895,1823,2997,0.005139,2.8108,1797.588,2950.192,20.156,9.823,-60.633,0.551,1865,17.666
5964,7.9132,-2.246,3137,2944,0.005534,1.0997,3125.706,2935.251,5.928,4.756,-28.01,0.189,314,5.414
5965,6.4037,-2.016,2215,2951,0.005279,1.0284,2203.931,2940.028,6.765,4.266,51.908,0.402,257,6.949
5966,15.494,-2.975,610,2956,0.006945,1.4152,592.224,2943.106,9.939,4.513,31.736,0.541,501,9.057
5967,111.36,-5.117,1177,3919,0.004736,2.5244,1155.179,3877.821,16.4,9.798,-69.127,0.389,1672,12.275
5968,8.9037,-2.374,1937,3875,0.004949,1.2993,1925.008,3863.579,6.899,4.815,-22.936,0.267,337,6.585
5969,9.4072,-2.434,814,3886,0.006625,1.4693,802.526,3869.815,8.228,4.13,-68.426,0.509,379,8.134
5970,5.6102,-1.872,465,3876,0.004675,1.0299,452.984,3867.991,6.182,3.325,-15.678,0.469,233,6.035
5971,27.505,-3.599,3135,3896,0.004743,1.9202,3103.311,3878.415,12.152,7.123,27.706,0.401,928,11.21
5972,24.145,-3.457,144,3910,0.005963,1.6195,126.694,3887.73,12.152,5.392,64.921,0.599,662,11.843
5973,8.607,-2.337,3788,3892,0.005912,1.162,3777.906,3879.321,6.921,3.869,64.895,0.451,294,6.132
5974,72.197,-4.646,1213,2972,0.004985,1.9676,1181.651,2957.537,14.754,6.812,-0.332,0.6,1049,12.794
5975,146.36,-5.414,1219,3018,0.005037,3.1224,1191.001,2989.796,14.738,13.161,-32.873,0.122,2093,10.883
5976,8.263,-2.293,1237,2960,0.004886,1.3402,1219.378,2945.833,8.889,5.28,20.368,0.373,365,8.589
5977,8.1243,-2.274,256,2959,0.004869,1.2746,247.888,2947.35,6.426,4.59,-78.524,0.269,330,6.293
5978,4.3008,-1.584,645,2949,0.005563,0.86863,635.587,2940.869,5.156,3.115,14.263,0.388,169,4.867
5979,8.0408,-2.263,1118,2956,0.005194,1.332,1098.89,2947.753,9.367,3.798,7.89,0.61,336,9.295
5980,6.4918,-2.031,3711,2962,0.005323,0.95423,3703.31,2950.185,6.215,3.563,-77.707,0.43,250,5.845
5981,9.4971,-2.444,2432,2986,0.006549,1.3028,2419.383,2965.827,9.758,5.302,-74.504,0.449,435,9.788
5982,12.998,-2.785,1322,2974,0.004954,1.2063,1312.281,2959.137,6.804,4.174,-63.848,0.388,333,5.895
