NUMBER,FLUX_AUTO,MAG_AUTO,KRON_RADIUS,PETRO_RADIUS,BACKGROUND,THRESHOLD,X_IMAGE,Y_IMAGE,A_IMAGE,B_IMAGE,THETA_IMAGE,ELLIPTICITY,CLASS_STAR,FLUX_RADIUS
3681,1.539875,-0.4687,4.77,3.5,0.009643945,0.02767048,1866.1517,953.9324,1.918,1.347,-17.58,0.298,0.001,1.648
3682,1.099255,-0.1027,3.5,5.28,0.0094871,0.02767048,1924.2026,1006.7178,1.626,0.384,19.81,0.764,0,2.182
3683,1.45937,-0.4104,4.9,5.94,0.008722531,0.02767048,3979.9175,997.1841,1.977,0.639,9.33,0.677,0.003,2.683
3684,1.306169,-0.29,5.39,3.96,0.008656538,0.02767048,3902.5105,987.0005,1.48,0.915,-61.52,0.382,0.009,1.686
3685,6.849755,-2.0892,3.5,7.92,0.009546189,0.02767048,1964.0769,984.7379,2.546,2.355,-43.87,0.075,0,3.652
3686,1.807706,-0.6428,4.94,5.28,0.01163027,0.02767048,81.4098,997.6966,1.662,1.167,-77.94,0.298,0,2.143
3687,1.177113,-0.177,6.2,4.62,0.009462086,0.02767048,2180.0081,1005.5223,1.06,0.791,-87.93,0.254,0.009,1.75
3688,1.054603,-0.0577,5.09,3.5,0.009464605,0.02767048,2076.0583,1009.0186,1.285,0.731,13.27,0.431,0,2.057
3689,0.769747,0.2841,4.08,5.94,0.01005441,0.02767048,495.3014,1009.0143,1.26,0.758,-1.6,0.399,0,1.594
3690,3.874259,-1.4705,3.5,3.5,0.01083958,0.02767048,299.3233,988.4782,2.613,2.263,75.73,0.134,0,3.319
3691,1.888064,-0.69,7.2,4.62,0.009115065,0.02767048,1539.17,1001.0085,2.218,0.922,39.14,0.584,0.001,3.12
3692,6.558606,-2.042,7.73,3.96,0.009532737,0.02767048,1842.6603,993.8284,4.266,1.025,-37.16,0.76,0.002,7.28
3693,0.7399594,0.327,3.97,0,0.009434696,0.02767048,2237.9229,1012.5102,0.797,0.5,0.23,0.372,0.363,1.462
3694,1.20054,-0.1984,3.5,3.5,0.008423167,0.02767048,2751.085,1010.6953,1.454,0.675,-7.68,0.536,0.005,1.914
3695,5.132639,-1.7759,4.92,4.62,0.008198071,0.02767048,3257.1516,998.1625,2,1.75,-21.09,0.125,0,3.244
3696,1.820165,-0.6503,5.21,3.5,0.009030105,0.02767048,788.0052,998.1761,1.968,0.818,58.1,0.585,0,2.757
3697,1.440212,-0.3961,6.26,3.5,0.008762643,0.02767048,1193.5448,1008.8286,1.066,0.911,-11.58,0.146,0.002,2.498
3698,0.6106592,0.5355,4.75,5.94,0.008865991,0.02767048,1386.7838,1013.6079,0.745,0.454,17.64,0.39,0.781,1.07
3699,3.263,-1.284,3.88,5.94,0.009778574,0.02767048,572.5937,998.6398,2.953,1.428,36.71,0.516,0,3.225
3700,0.9074741,0.1054,4.32,3.5,0.008926181,0.02767048,1421.593,1004.8843,1.604,0.687,-55.9,0.572,0.012,1.656
3701,0.6438529,0.478,9.48,3.5,0.008577782,0.02767048,3810.7803,1014.59,0.771,0.448,18.92,0.42,0.002,1.866
3702,1.206666,-0.204,3.5,5.28,0.009885393,0.02767048,540.4597,1011.4786,1.327,0.934,-16.81,0.296,0.006,1.825
3703,3.021729,-1.2006,5.49,5.94,0.00909822,0.02767048,1531.2529,1004.2808,2.052,1.347,-17.99,0.343,0,3.584
3704,0.9867613,0.0145,3.5,7.26,0.008730853,0.02767048,1241.9675,1016.503,1.221,0.445,11.57,0.636,0.001,1.923
3705,1.496144,-0.4374,4.87,3.5,0.008703676,0.02767048,3958.3982,1009.2272,1.258,0.894,-89.4,0.29,0.009,2.268
3706,10.2291,-2.5246,3.95,4.62,0.01029894,0.02767048,442.0103,985.4799,3.855,2.845,15.77,0.262,0,5.155
3707,1.190285,-0.1891,3.5,3.5,0.008438179,0.02767048,3644.4082,1007.1661,1.447,0.921,-65.19,0.363,0.002,1.741
3708,0.9858529,0.0155,4.63,4.62,0.00859918,0.02767048,3836.0024,1009.6623,1.195,0.762,-89.71,0.362,0.003,1.63
3709,7.131574,-2.133,3.6,3.5,0.008441827,0.02767048,3641.71,992.8121,3.53,2.389,3.14,0.323,0,5.558
