NUMBER,FLUX_AUTO,MAG_AUTO,KRON_RADIUS,PETRO_RADIUS,BACKGROUND,THRESHOLD,X_IMAGE,Y_IMAGE,A_IMAGE,B_IMAGE,THETA_IMAGE,ELLIPTICITY,CLASS_STAR,FLUX_RADIUS
6720,0.6024883,0.5501,3.5,4.62,0.002483244,0.02752947,1440.2201,2505.4065,0.764,0.447,19.21,0.416,0.052,1.433
6721,0.6758069,0.4254,3.64,6.6,0.002496038,0.02752947,1186.1554,2508.166,0.758,0.568,44.24,0.25,0.001,1.236
6722,1.224712,-0.2201,3.5,7.26,0.002961294,0.02752947,2420.7117,2510.2871,1.378,0.717,23.83,0.48,0.005,1.821
6723,16.48433,-3.0427,4.23,7.26,0.002893681,0.02752947,4049.4717,2586.7927,3.692,2.876,-24.71,0.221,0,5.133
6724,0.5841524,0.5837,3.5,5.94,0.003263675,0.02752947,519.1756,2506.3879,0.748,0.449,18.53,0.401,0.766,1.054
6725,1.299672,-0.2846,6.22,3.5,0.003119045,0.02752947,595.7043,2520.9854,1.432,1.086,43.51,0.242,0.147,1.692
6726,11.90665,-2.6895,3.5,5.94,0.00267199,0.02752947,1864.1798,2542.9563,3.609,3.085,50.93,0.145,0,4.467
6727,2.282463,-0.896,8.77,4.62,0.002613305,0.02752947,3081.9648,2515.4988,1.171,1.047,-26.68,0.106,0.101,5.716
6728,15.69917,-2.9897,3.96,5.28,0.002657043,0.02752947,3549.2576,2543.8347,3.443,3.007,-54.59,0.127,0,4.361
6729,5.039298,-1.7559,5.73,5.28,0.002782342,0.02752947,3760.175,2532.719,2.589,1.742,25.63,0.327,0,3.701
6730,0.6974594,0.3912,5.77,6.6,0.002888641,0.02752947,4103.6104,2510.7612,0.752,0.453,72.44,0.398,0.013,1.366
6731,0.5823764,0.587,3.5,4.62,0.002751583,0.02752947,1956.7854,2514.3816,1.231,0.282,54.69,0.771,0.029,1.659
6732,1.041651,-0.0443,3.5,3.5,0.002924734,0.02752947,2199.0764,2534.7463,1.722,0.643,-44.61,0.627,0.098,2.288
6733,1.379501,-0.3493,3.5,4.62,0.002661176,0.02752947,2980.6326,2516.8962,1.221,0.949,-74.75,0.223,0.002,1.585
