NUMBER,FLUX_AUTO,MAG_AUTO,KRON_RADIUS,PETRO_RADIUS,BACKGROUND,THRESHOLD,X_IMAGE,Y_IMAGE,A_IMAGE,B_IMAGE,THETA_IMAGE,ELLIPTICITY,CLASS_STAR,FLUX_RADIUS
15228,6.645994,-2.0564,3.5,5.94,0.009175856,0.02591185,179.4256,4002.522,3.351,2.391,-3.54,0.286,0,3.952
15229,32.26728,-3.7719,3.5,5.28,0.01293372,0.02591185,922.1545,3456.116,3.506,3.169,40.98,0.096,0.027,3.808
15230,1.379553,-0.3493,5.68,5.94,0.01215268,0.02591185,1725.0337,4043.7942,1.305,0.855,27.29,0.345,0.014,2.27
15231,2.993605,-1.1905,6.38,3.5,0.01196065,0.02591185,1000.075,4028.3843,2.455,1.333,-38,0.457,0,3.1
15232,0.7761991,0.2751,7.81,6.6,0.01170705,0.02591185,2949.7878,4002.5938,0.754,0.451,18.85,0.403,0.031,1.742
15233,8.781112,-2.3589,7.6,8.58,0.01197957,0.02591185,2739.6553,3965.0796,2.559,1.322,-29.08,0.484,0,7.817
15234,0.7268032,0.3465,4.36,4.62,0.01195516,0.02591185,1270.8011,3995.9736,0.93,0.469,53.38,0.495,0.051,1.336
15235,2.372907,-0.9382,5.47,5.28,0.012317,0.02591185,776.356,3975.884,2.289,1.444,-68.24,0.369,0,3.078
15236,3.508801,-1.3629,6.86,5.94,0.01279052,0.02591185,1336.205,3503.207,1.577,1.432,60.79,0.092,0,6.085
15237,7.261969,-2.1526,6.11,5.94,0.008222206,0.02591185,166.8428,4058.3909,2.772,1.841,-66.22,0.336,0,4.347
15238,0.6403667,0.4839,5.67,7.26,0.01279316,0.02591185,3775.1895,3540.6306,0.749,0.449,-17.29,0.401,0.141,1.363
15239,0.7595084,0.2987,3.5,3.5,0.01169824,0.02591185,1018.5461,4086.2073,0.922,0.769,67.23,0.165,0.002,1.721
15240,7.653589,-2.2097,4.24,5.94,0.0115909,0.02591185,3265.051,4008.1475,2.889,1.749,48.42,0.395,0.001,3.926
15241,1.121335,-0.1243,5.87,5.28,0.01212438,0.02591185,1851.8727,4063.1235,1.135,0.887,36.78,0.219,0.008,1.677
15242,1.314448,-0.2969,4.6,3.5,0.01136357,0.02591185,3819.6189,4035.7285,1.516,0.858,-16.92,0.434,0.01,1.966
15243,1.068179,-0.0716,3.5,5.94,0.01110873,0.02591185,3946.074,4024.9502,1.697,0.711,-44.53,0.581,0.009,2.154
15244,0.9107606,0.1015,3.5,5.94,0.01134571,0.02591185,4123.897,3959.1531,1.376,0.648,-87.79,0.529,0.056,1.83
15245,1.075602,-0.0791,5.58,3.5,0.01219079,0.02591185,1762.6439,4040.5664,1.047,0.88,52.96,0.159,0.025,1.826
15246,2.262629,-0.8865,8.38,5.28,0.01021286,0.02591185,468.3107,4045.4153,1.295,0.909,-49.56,0.298,0.001,3.928
15247,0.6764698,0.4244,3.5,5.28,0.01159947,0.02591185,3309.6189,4004.7776,0.946,0.637,73.48,0.326,0.167,1.243
15248,6.325168,-2.0027,3.5,8.58,0.01187648,0.02591185,2288.0854,4004.6428,3.423,2.246,83.62,0.344,0,5.059
15249,15.4118,-2.9696,4.78,6.6,0.01183705,0.02591185,2763.9346,3988.8508,5.383,3.699,73.44,0.313,0,5.921
15250,1.246125,-0.2389,8.2,5.28,0.007307545,0.02591185,6.1135,4053.6533,1.164,0.872,66.99,0.251,0.018,1.947
15251,19.61813,-3.2316,4.61,6.6,0.01216738,0.02591185,249.1376,3416.7339,5.019,3.697,-56.17,0.263,0,6.589
15252,1.117787,-0.1209,5.8,7.26,0.01217176,0.02591185,280.7391,3495.3809,1.322,0.747,64.23,0.435,0.007,1.867
15253,0.9317771,0.0767,4.17,7.26,0.01214669,0.02591185,1894.6202,4026.0461,1.393,0.646,-32.46,0.536,0.01,1.818
15254,0.9118733,0.1002,3.5,3.5,0.01207799,0.02591185,1580.2917,4022.3235,1.774,0.995,78.81,0.439,0.001,2.208
15255,0.6773212,0.423,5.14,7.92,0.008401119,0.02591185,92.9808,4021.5046,0.795,0.499,2.07,0.372,0.088,1.485
15256,10.05129,-2.5056,5.57,6.6,0.01164092,0.02591185,2849.8447,4018.4673,3.342,2.322,80.86,0.305,0,5.729
15257,3.641222,-1.4031,3.5,5.28,0.01194369,0.02591185,772.4898,4055.1584,2.112,1.646,43.46,0.221,0,2.579
15258,2.471857,-0.9826,4.48,3.5,0.0117536,0.02591185,3864.0403,3975.4167,2.307,1.276,79.76,0.447,0,2.649
15259,5.107126,-1.7704,3.63,5.94,0.01181296,0.02591185,713.0965,4019.271,4.077,1.979,38.05,0.515,0,5.004
15260,15.61602,-2.9839,3.8,7.26,0.01040491,0.02591185,476.0185,4030.8396,3.827,3.019,-19.69,0.211,0,5.239
15261,20.83983,-3.2972,3.66,4.62,0.01228107,0.02591185,1770.8475,3983.8521,4.027,2.823,13.53,0.299,0.001,4.321
15262,2.257758,-0.8842,5.44,5.28,0.01170274,0.02591185,2743.074,4013.1782,1.803,1.004,65.38,0.443,0.004,2.472
15263,3.08086,-1.2217,3.5,5.28,0.01116532,0.02591185,3461.1099,4066.0371,2.333,2.099,-62.73,0.1,0,2.774
