NUMBER,FLUX_AUTO,MAG_AUTO,KRON_RADIUS,PETRO_RADIUS,BACKGROUND,THRESHOLD,X_IMAGE,Y_IMAGE,A_IMAGE,B_IMAGE,THETA_IMAGE,ELLIPTICITY,CLASS_STAR,FLUX_RADIUS
1063,2.919399,-1.1632,4.55,5.94,0.002793123,0.02568904,1721.5466,351.6937,1.92,1.714,-0.92,0.107,0.001,3.831
1064,2.989095,-1.1888,6.9,3.5,0.002786578,0.02568904,1379.514,350.7741,3.802,0.709,35.01,0.813,0.001,5.376
1065,1.115995,-0.1192,3.5,7.26,0.002775044,0.02568904,972.4199,350.1107,1.84,0.716,55.73,0.611,0.004,2.481
1066,2.095959,-0.8035,5.26,5.28,0.002775585,0.02568904,1002.6339,347.5911,2.009,0.996,-1.97,0.504,0,3.126
1067,12.88339,-2.7751,4.12,5.28,0.002786288,0.02568904,2346.6238,374.2638,3.196,2.737,-45.59,0.144,0,4.008
1068,6.50583,-2.0333,4.31,5.28,0.002785949,0.02568904,2154.3044,369.6787,2.659,2.364,6.17,0.111,0,3.957
1069,5.121884,-1.7736,4.57,4.62,0.002820758,0.02568904,2629.1162,360.071,2.162,2.049,4.27,0.052,0,3.162
1070,1.084871,-0.0884,7.93,3.96,0.003019821,0.02568904,3819.7095,344.9802,0.743,0.684,78.45,0.079,0.011,2.47
1071,12.51504,-2.7436,3.5,5.94,0.003004596,0.02568904,3863.7749,392.1603,3.422,2.693,-53.36,0.213,0,3.986
1072,2.750547,-1.0985,7.86,5.28,0.002611627,0.02568904,548.6968,356.1768,1.689,1.448,10.67,0.143,0,3.26
1073,0.7275305,0.3454,4.62,7.92,0.003019821,0.02568904,3468.7256,345.8351,1.113,0.517,34.29,0.535,0.001,1.52
1074,2.154346,-0.8333,3.5,5.94,0.002776044,0.02568904,913.7855,366.2899,2.326,1.463,87.62,0.371,0.001,2.472
1075,6.284551,-1.9957,4.61,4.62,0.002788032,0.02568904,2092.5054,369.2983,2.479,1.943,-88.29,0.216,0,2.893
1076,1.330749,-0.3102,6.54,3.5,0.002774836,0.02568904,952.7734,352.2374,1.509,0.615,57.88,0.593,0.01,2.959
1077,0.4459047,0.8769,3.5,5.94,0.003019821,0.02568904,3337.9924,346.9753,0.626,0.61,-89.46,0.026,0.008,1.117
1078,77.18295,-4.7188,3.5,5.94,0.002981953,0.02568904,3200.3667,469.8786,7.3,4.645,-81.07,0.364,0.001,6.205
1079,2.626318,-1.0484,6.97,5.28,0.002793999,0.02568904,1725.1256,354.8831,1.555,1.453,-16.05,0.066,0,3.408
1080,0.8579872,0.1663,3.5,5.94,0.002791134,0.02568904,1597.7805,353.2112,1.782,0.708,-44.79,0.603,0.009,1.951
1081,0.7970216,0.2463,3.5,7.92,0.002786449,0.02568904,1420.1453,347.8745,0.856,0.675,43.83,0.211,0,1.904
1082,7.498612,-2.1875,3.5,5.28,0.002847035,0.02568904,2804.8835,376.5847,3.717,2.069,-70.57,0.443,0,3.605
1083,3.041129,-1.2076,3.56,5.94,0.003019821,0.02568904,3514.9785,361.4717,2.666,1.227,-32.72,0.54,0,2.877
1084,0.69309,0.398,3.5,7.92,0.002773826,0.02568904,938.102,348.8804,0.853,0.663,45.59,0.223,0.055,1.407
1085,112.3768,-5.1267,3.5,5.94,0.002693904,0.02568904,525.0209,537.4558,6.907,5.731,-29.67,0.17,0.001,7.54
1086,0.9867655,0.0145,6.1,5.28,0.002791025,0.02568904,1592.4526,353.4982,0.935,0.918,-20.43,0.019,0.001,1.758
1087,0.6267527,0.5073,4.2,5.28,0.002945633,0.02568904,3114.991,348.5138,0.802,0.5,1.35,0.377,0.047,1.376
1088,0.9594538,0.0449,3.5,5.94,0.003019821,0.02568904,3597.2874,354.8994,1.066,0.842,35.74,0.211,0.01,1.709
1089,9.866261,-2.4854,3.83,5.28,0.003019821,0.02568904,3366.479,404.4628,3.318,2.779,42.83,0.162,0,4.614
1090,3.232759,-1.2739,3.5,3.96,0.002778812,0.02568904,970.1979,369.6036,2.361,1.409,26.22,0.403,0.006,3.939
1091,25.72483,-3.5259,3.5,5.28,0.002784509,0.02568904,2317.5962,393.1218,3.331,3.006,72.04,0.097,0.025,3.557
1092,15.77804,-2.9951,3.5,4.62,0.002603202,0.02568904,509.855,389.6665,5.173,3.064,-9.33,0.408,0,5.644
1093,4.453401,-1.6217,5.9,5.28,0.002790639,0.02568904,1396.6729,364.3402,2.462,1.353,35.6,0.45,0,4.851
1094,13.74938,-2.8457,4.46,7.92,0.002797985,0.02568904,2028.3712,408.2013,4.123,2.795,-88.32,0.322,0,5.162
1095,0.972599,0.0302,3.5,7.92,0.002792709,0.02568904,1561.3066,360.9205,1.444,0.549,59.88,0.62,0.001,1.983
1096,1.786828,-0.6302,3.5,5.94,0.002795327,0.02568904,1860.0585,363.6786,1.87,1.225,14.32,0.345,0,2.233
1097,0.7092116,0.3731,3.5,4.62,0.002788891,0.02568904,1411.8883,356.82,0.844,0.656,-43.15,0.222,0.012,1.216
1098,3.117248,-1.2344,5.25,5.28,0.003019821,0.02568904,3421.6726,379.2814,2.149,1.555,61.49,0.276,0,3.241
