NUMBER,X_IMAGE,Y_IMAGE,FLUX_AUTO,MAG_AUTO,A_IMAGE,B_IMAGE,KRON_RADIUS,PETRO_RADIUS,FLUX_RADIUS,ELLIPTICITY,THETA_IMAGE,BACKGROUND,THRESHOLD,ISOAREA_IMAGE,CLASS_STAR
1254,3929.824,1107.6682,2.594625,25.9648,1.204,0.667,6.17,9.24,2.159,0.446,-50.8,0.008812333,0.07637031,7,0
1255,851.3512,1110.1238,9.579486,24.5466,1.231,1.099,8.53,10.56,5.561,0.108,-0.81,0.01130463,0.07637031,12,0
1256,2031.0933,1141.6749,73.06727,22.3407,3.565,3.324,5.18,7.92,5.37,0.068,-12.24,0.0119682,0.07637031,200,0
1257,90.74,1110.3615,4.459078,25.3769,1.527,0.858,6.74,10.56,3.008,0.438,11.19,0.01262014,0.07637031,14,0
1258,4117.6953,1117.8324,10.19561,24.479,1.962,1.108,7.38,10.56,4.734,0.435,41.65,0.01026405,0.07637031,20,0
1259,1629.8691,1122.4795,16.79964,23.9368,2.283,1.831,6.74,6.6,5.02,0.198,60.17,0.012414,0.07637031,50,0
1260,555.385,1119.1724,9.318034,24.5767,1.69,1.527,6.33,9.24,4.004,0.097,3.88,0.01095348,0.07637031,26,0
1261,3223.2373,1144.0704,43.11059,22.9135,3.152,2.474,5.24,8.58,4.621,0.215,73.98,0.01043587,0.07637031,126,0
1262,2993.3601,1115.0787,3.91755,25.5175,1.37,0.967,5.83,7.92,2.395,0.294,53.78,0.01110071,0.07637031,15,0
1263,559.1481,1112.2476,8.594213,24.6645,1.53,0.937,7.99,10.56,4.977,0.387,-27.16,0.01087813,0.07637031,12,0
1264,3231.2029,1239.118,440.5095,20.3901,6.05,5.573,3.99,5.28,6.228,0.079,-53.29,0.01249854,0.07637031,868,0.029
1265,3643.3694,1383.7686,3236.433,18.2248,11.427,8.858,3.5,4.62,8.429,0.225,-53.53,0.02197059,0.07637031,3854,0.029
1266,1167.567,1112.9906,2.656046,25.9394,1.14,0.544,7.71,7.92,2.383,0.523,-62.26,0.01275788,0.07637031,7,0.006
1267,1997.8828,1132.2013,24.34705,23.5339,2.226,1.74,7.49,10.56,8.585,0.218,-81.44,0.01313069,0.07637031,41,0
1268,4123.5781,1116.8781,8.084632,24.7308,1.418,1.2,7.85,10.56,4.647,0.154,-9.56,0.01023895,0.07637031,16,0
1269,586.3386,1163.4344,84.98322,22.1767,3.904,3.789,4.69,6.6,5.653,0.029,-86.61,0.01287688,0.07637031,263,0
1270,2546.9949,1115.5585,4.846219,25.2865,1.371,0.746,7.85,9.24,3.392,0.456,26.93,0.01065688,0.07637031,9,0.002
1271,3116.1016,1134.7307,20.62917,23.7138,2.45,2.337,5.42,7.92,4.51,0.046,81.76,0.008696155,0.07637031,77,0
