NUMBER,FLUX_AUTO,MAG_AUTO,KRON_RADIUS,PETRO_RADIUS,BACKGROUND,THRESHOLD,X_IMAGE,Y_IMAGE,A_IMAGE,B_IMAGE,THETA_IMAGE,ELLIPTICITY,CLASS_STAR,FLUX_RADIUS
3658,23.22625,-3.4149,5.43,7.26,0.004905591,0.07602261,1538.2776,3925.1699,2.746,2.295,-49.6,0.165,0,4.571
3659,34.95097,-3.8586,4.35,6.6,0.005780529,0.07602261,682.1713,3897.8989,3.173,3.072,8.56,0.032,0,4.868
3660,9.272235,-2.418,7.12,10.56,0.001334677,0.07602261,64.7455,3838.4768,1.423,1.392,79.36,0.022,0,4.237
3661,14.43023,-2.8982,5.85,10.56,0.003469014,0.07602261,2878.0264,3949.0908,2.258,1.816,-56.12,0.196,0,4.116
3662,5.668248,-1.8836,7.17,10.56,0.002714466,0.07602261,1423.7538,3943.0078,1.204,1.153,-0.67,0.043,0,3.477
3663,12.44501,-2.7375,6.41,9.9,0.005249697,0.07602261,1589.3597,3939.9915,2.214,1.885,17.83,0.149,0,4.887
3664,5.898882,-1.9269,6.38,10.56,0.003159599,0.07602261,3701.9143,3720.7507,1.343,1.025,-46.11,0.237,0,3.039
3665,9.853336,-2.484,6.89,10.56,0.001812322,0.07602261,1961.9512,3896.4077,1.586,1.455,36.02,0.082,0,4.35
3666,14.1419,-2.8763,5.3,7.92,0.003677828,0.07602261,2247.1377,3866.585,2.149,2.006,82.06,0.067,0,3.897
3667,9.487765,-2.4429,6.08,9.9,0.002735999,0.07602261,3590.7021,3918.1643,1.817,1.505,55.67,0.172,0,3.739
3668,12.58663,-2.7498,5.33,8.58,0.00291422,0.07602261,347.3978,3954.064,2.271,1.776,-21.04,0.218,0,3.595
3669,4.846463,-1.7136,5.61,7.92,0.003940079,0.07602261,2094.6814,3879.7722,1.465,1.145,77.55,0.219,0,2.642
3670,11.62502,-2.6635,3.79,5.94,0.003293354,0.07602261,3840.9944,3916.0698,2.003,1.922,32.35,0.04,0,3.115
3671,26.18606,-3.5452,6.23,9.24,0.004560837,0.07602261,4114.7549,3888.1736,2.899,2.405,-9.07,0.17,0,5.863
3672,1.607838,-0.5156,6.75,10.56,0.002724807,0.07602261,3379.5938,3883.2183,1.221,0.286,35.86,0.766,0.001,1.738
3673,26.3649,-3.5526,4.49,6.6,0.003897303,0.07602261,1831.3285,3903.1423,3.214,2.154,5.52,0.33,0,4.215
3674,10.07711,-2.5083,5.7,9.9,0.003848648,0.07602261,3968.5464,3888.4304,2.151,1.53,-20.78,0.289,0,3.67
3675,2.807282,-1.1207,6.27,8.58,0.002772595,0.07602261,1710.6882,3799.5671,1.544,0.483,-7.03,0.688,0,2.379
3676,31.19787,-3.7353,6.14,9.24,0.002923693,0.07602261,3621.9153,3746.0488,3.592,2.548,22.97,0.291,0,7.405
3677,65.51432,-4.5408,4.41,6.6,0.004391361,0.07602261,3240.2993,3666.4067,4.295,3.012,-66.79,0.299,0,5.382
3678,5.100137,-1.769,7.81,10.56,0.003236873,0.07602261,3184.1255,3914.137,1.295,0.742,-47.76,0.427,0,3.572
3679,57.34467,-4.3962,5.09,7.92,0.003291191,0.07602261,1664.7161,3893.696,5.528,2.969,8.83,0.463,0,7.3
3680,185.4432,-5.6705,4.05,6.6,0.002943291,0.07602261,3694.8643,3870.0581,5.878,5.558,-84.12,0.054,0,7.816
3681,6.30921,-1.9999,5.04,7.26,0.001183705,0.07602261,3416.5288,3922.8433,1.757,1.502,3.71,0.145,0,3.097
3682,7.445317,-2.1797,7.72,10.56,0.004344533,0.07602261,2235.186,3709.3342,1.408,1.143,-35.86,0.188,0,4.276
3683,16.84314,-3.0661,4.52,7.26,0.003865994,0.07602261,2610.8511,3903.0605,3.615,2.058,79.53,0.431,0,5.206
3684,213.7097,-5.8246,4.38,6.6,0.003450072,0.07602261,2757.2849,3864.1145,6.177,5.347,-4.14,0.134,0,7.976
3685,5.41369,-1.8337,8.18,10.56,0.0006018035,0.07602261,3025.5376,3910.8599,1.096,0.739,-39.15,0.326,0,3.816
3686,109.0499,-5.0941,4.89,7.26,0.003679686,0.07602261,1650.8203,3909.4255,5.869,4.013,83.4,0.316,0,7.996
3687,29.1866,-3.663,5.05,6.6,0.002060829,0.07602261,1884.1365,3899.7974,2.592,2.483,-89.03,0.042,0.001,4.142
3688,31.39297,-3.7421,8.71,10.56,0.003569588,0.07602261,3261.0273,3875.501,2.305,1.705,81.24,0.26,0,9.909
3689,12.70998,-2.7604,9.15,10.56,0.003455124,0.07602261,3213.7163,3890.0896,1.476,0.747,2.94,0.494,0,6.021
3690,8.232159,-2.2888,7.42,10.56,0.001697857,0.07602261,130.9582,3900.2329,1.398,1.274,24.66,0.089,0,4.155
3691,13.44647,-2.8215,5.76,8.58,0.003105157,0.07602261,389.7573,3927.8442,2.657,1.813,26.44,0.318,0,4.377
3692,20.36407,-3.2722,6.63,10.56,0.004661916,0.07602261,4105.6343,3892.6809,2.945,1.894,-79.61,0.357,0,6.309
3693,11.07399,-2.6108,5.93,9.9,0.0007533524,0.07602261,2934.8723,3883.7524,2.151,1.616,18.27,0.249,0,4.057
3694,24.43324,-3.47,4.13,5.94,0.005936163,0.07602261,709.0148,3905.2839,2.681,2.341,66.99,0.127,0,3.81
3695,14.88073,-2.9316,5.99,10.56,0.002448259,0.07602261,2828.7861,3687.6907,2.38,1.823,-64.14,0.234,0,4.443
3696,4.250706,-1.5712,7.99,10.56,0.00308307,0.07602261,3546.5374,3845.1221,1.215,0.698,-76.48,0.426,0.001,3.126
3697,23.96927,-3.4491,3.81,6.6,0.003435764,0.07602261,1104.9562,3886.7297,2.811,2.325,-70.18,0.173,0,3.956
3698,30.2009,-3.7,4.13,6.6,0.003434119,0.07602261,2129.2485,3875.3379,2.868,2.693,-31.84,0.061,0,4.281
3699,15.87644,-3.0019,5.06,7.26,0.001207979,0.07602261,3051.3835,3863.4741,2.311,1.966,-61.43,0.149,0,3.734
3700,37.47977,-3.9345,3.64,6.6,0.005760341,0.07602261,3983.2732,3814.5537,3.822,2.446,-66.91,0.36,0,4.609
3701,20.48202,-3.2784,4.71,7.26,0.002674385,0.07602261,2487.1096,3893.5947,2.493,2.049,37.82,0.178,0,3.677
3702,6.90617,-2.0981,7.66,6.6,0.003890771,0.07602261,1100.9832,3843.6982,1.571,0.953,56.67,0.394,0,4.085
3703,21.90928,-3.3516,6,10.56,0.00365098,0.07602261,2725.7166,3848.7334,2.934,2.015,-26.74,0.313,0,5.478
3704,37.87093,-3.9458,4.79,7.92,0.002430896,0.07602261,3850.9109,3861.0708,3.52,2.937,-26.84,0.166,0,5.319
3705,2.499798,-0.9948,7.07,7.92,0.00131816,0.07602261,1768.3141,3711.2825,1.13,0.46,59.73,0.593,0,2.305
3706,8.636633,-2.3409,4.64,7.26,0.003019285,0.07602261,3938.6614,3818.0928,2.213,1.635,12.95,0.261,0,3.342
3707,34.37992,-3.8408,4.77,6.6,0.007061649,0.07602261,4005.5898,3763.8308,3.798,2.483,-65.15,0.346,0,5.082
