NUMBER,X_IMAGE,Y_IMAGE,FLUX_AUTO,MAG_AUTO,A_IMAGE,B_IMAGE,KRON_RADIUS,PETRO_RADIUS,FLUX_RADIUS,ELLIPTICITY,THETA_IMAGE,BACKGROUND,THRESHOLD,ISOAREA_IMAGE,CLASS_STAR
2339,1045.5702,3425.0166,5.266107,25.1963,1.164,0.8,7.32,9.9,3.402,0.313,84.87,0.002641314,0.0815822,11,0.001
2340,3686.3037,3420.8296,3.946368,25.5095,0.876,0.608,7.76,5.28,3.139,0.306,59.44,0.003158811,0.0815822,7,0
2341,2386.9487,3912.3616,328.1241,20.7099,6.366,5.512,4.44,6.6,7.515,0.134,33.1,0.004676341,0.0815822,757,0.001
2342,1527.5592,3402.3474,106.248,21.9342,4.061,3.599,4.86,9.24,5.819,0.114,2.43,0.001538668,0.0815822,259,0
2343,29.1469,3423.4944,17.98002,23.863,2.146,1.868,5.57,10.56,4.199,0.13,19.88,0.003148308,0.0815822,49,0
2344,2203.6414,3407.0503,13.51676,24.1728,2.163,1.534,6.08,9.9,4.192,0.291,61.9,0.002264502,0.0815822,36,0
2345,1269.4089,3367.6262,3.59304,25.6113,1.017,0.489,8.43,10.56,3.137,0.519,-87.03,0.001588163,0.0815822,4,0
2346,2801.0098,3421.2549,2.865662,25.8569,0.734,0.685,7.49,10.56,2.472,0.068,2.3,0.001962004,0.0815822,5,0
2347,2344.5269,3285.3176,10.92279,24.4042,1.82,1.251,7.14,10.56,4.489,0.313,64.13,0.001923078,0.0815822,27,0
2348,3478.2341,3356.9163,5.387616,25.1715,1.37,0.827,7.73,6.6,3.283,0.396,-76.01,0.004514484,0.0815822,9,0
2349,462.0002,4031.7656,8.649025,24.6576,1.615,1.064,7.81,10.56,5.024,0.341,-72.77,0.002771148,0.0815822,15,0
2350,4134.104,3401.4595,13.18569,24.1997,2.021,1.741,6.74,7.26,4.61,0.138,41.2,0.004067407,0.0815822,33,0
2351,159.9512,3417.585,14.9969,24.06,2.395,1.397,7.06,10.56,5,0.417,39.55,0.0008986818,0.0815822,38,0
2352,3909.814,3409.6423,30.59072,23.286,2.63,2.406,4.95,6.6,4.12,0.085,-82.93,0.002168259,0.0815822,97,0
2353,3533.7627,3318.9697,18.80652,23.8142,2.137,1.12,8.33,10.56,8.161,0.476,83.05,0.003279777,0.0815822,20,0
2354,1410.5348,3402.5171,12.80655,24.2314,2.065,1.704,6.38,7.26,4.191,0.175,62.76,0.002920659,0.0815822,42,0
2355,571.7835,3976.0266,12.32139,24.2734,2.02,1.512,6.74,9.24,4.627,0.252,26.73,0.002481957,0.0815822,28,0
2356,2781.9744,3360.0244,2.069024,26.2106,1.034,0.386,7.78,7.26,2,0.627,-57.16,0.005216149,0.0815822,4,0
2357,3606.0891,3403.1672,67.74207,22.4229,3.511,3.44,4.96,9.24,5.775,0.02,-68.19,0.002594591,0.0815822,187,0
2358,472.9879,3418.3376,13.59646,24.1664,2.427,1.643,6.01,10.56,4.267,0.323,70.59,0.00166754,0.0815822,41,0
2359,3218.1667,3433.7671,16.95693,23.9266,2.263,1.637,6.55,5.94,4.484,0.277,-60.1,0.00385608,0.0815822,44,0
2360,255.1268,3283.1743,14.31476,24.1105,2.25,1.437,6.48,10.56,4.399,0.362,33.72,0.001119708,0.0815822,36,0
2361,2940.6538,3803.4578,6.497392,24.9682,1.286,1.103,6.79,7.92,3.62,0.142,84.18,0.005551825,0.0815822,12,0
