NUMBER,FLUX_AUTO,MAG_AUTO,KRON_RADIUS,PETRO_RADIUS,BACKGROUND,THRESHOLD,X_IMAGE,Y_IMAGE,A_IMAGE,B_IMAGE,THETA_IMAGE,ELLIPTICITY,CLASS_STAR,FLUX_RADIUS
4021,37.54905,-3.9365,5.6,7.92,0.01028708,0.07687208,132.7333,3805.592,3.803,2.801,-25.3,0.263,0,6.464
4022,17.7046,-3.1202,4.49,7.92,0.00888211,0.07687208,1893.2482,3755.4658,2.396,2.19,48.44,0.086,0,4.191
4023,6.039815,-1.9526,6.31,10.56,0.01017041,0.07687208,2235.322,3709.4744,1.564,1.166,89.06,0.255,0,3.269
4024,3.341151,-1.3097,5.88,6.6,0.01051296,0.07687208,2176.2332,3674.7896,1.452,0.769,-20.18,0.47,0,2.421
4025,46.67413,-4.1727,5.89,8.58,0.01075783,0.07687208,815.4218,3720.6548,3.814,2.706,17.12,0.29,0,6.21
4026,2.694216,-1.0761,8.34,7.92,0.01070746,0.07687208,1443.7887,3747.5933,0.765,0.445,19.57,0.418,0.024,2.718
4027,7.048661,-2.1203,7.94,3.5,0.01054559,0.07687208,1155.1678,3736.1724,1.45,1.079,66.05,0.256,0,4.696
4028,7.684401,-2.214,8.83,10.56,0.009399419,0.07687208,3647.0398,3929.644,1.036,0.646,-52.94,0.376,0,4.74
4029,16.50786,-3.0442,7.02,10.56,0.01043671,0.07687208,2896.5515,3762.7395,2.009,1.856,-59.09,0.076,0,5.349
4030,28.13886,-3.6233,4.91,6.6,0.01150606,0.07687208,3994.9775,3754.4243,2.501,2.438,17.46,0.025,0,4.054
4031,9.992847,-2.4992,7.3,7.26,0.01141317,0.07687208,3470.1162,3732.7722,1.637,1.452,-52.07,0.113,0,4.454
4032,4.252918,-1.5717,8.39,10.56,0.01030123,0.07687208,2552.0706,3736.6589,0.935,0.687,67.95,0.264,0,3.422
4033,5.346961,-1.8203,7.98,8.58,0.01038226,0.07687208,2570.939,3640.1624,1.464,0.76,4.51,0.481,0,3.475
4034,94.10414,-4.934,4.89,6.6,0.01026133,0.07687208,2252.5569,3723.4612,4.795,3.955,-73.78,0.175,0,6.827
4035,37.66518,-3.9399,5.42,9.24,0.01092846,0.07687208,3639.9153,3745.905,3.193,3.165,-86.7,0.009,0,5.97
4036,16.36004,-3.0345,6.61,7.26,0.01051296,0.07687208,2152.9768,3649.9456,2.229,1.808,32,0.189,0,5.105
4037,87.51292,-4.8552,4.19,5.94,0.01042548,0.07687208,3787.6372,3757.323,5.497,3.544,28.21,0.355,0,6.069
4038,8.589979,-2.335,7.19,5.94,0.01037109,0.07687208,2627.853,3733.7134,1.524,1.399,-26.39,0.083,0,3.669
4039,19.46767,-3.2233,7.92,10.56,0.008204896,0.07687208,2096.7915,3751.1587,2.5,1.484,56.66,0.406,0,7.068
4040,11.40841,-2.6431,6.69,10.56,0.01041663,0.07687208,3972.1687,3610.449,2.143,1.704,-70.15,0.205,0,4.847
4041,6.200438,-1.9811,8.12,10.56,0.009150556,0.07687208,1689.7979,3642.4417,1.194,0.77,-59.89,0.355,0,4.054
4042,58.55505,-4.4189,4.67,8.58,0.01014297,0.07687208,4142.8916,3906.5562,4.619,3.153,-18.56,0.317,0,6.531
4043,27.04598,-3.5803,4.8,7.92,0.01024212,0.07687208,1181.1151,3728.5659,3.247,2.705,-52.16,0.167,0,5.009
4044,13.85487,-2.854,8.68,10.56,0.0104274,0.07687208,3273.3838,3866.3767,1.715,1.053,-35.37,0.386,0,6.442
4045,6.300952,-1.9985,8.09,10.56,0.01066353,0.07687208,780.4567,3910.6909,1.343,0.934,-52.21,0.305,0,4.127
4046,3.725007,-1.4278,9.1,8.58,0.00996708,0.07687208,3845.3999,3952.7957,0.766,0.443,-70.43,0.422,0,3.267
4047,176.5921,-5.6174,4.49,5.94,0.009772301,0.07687208,2601.0291,3694.6804,5.677,4.357,6.94,0.233,0,6.921
4048,56.00476,-4.3706,4.65,7.26,0.01136746,0.07687208,1310.9791,3699.0417,3.603,3.366,-6.35,0.066,0,5.386
4049,11.21845,-2.6248,6.27,10.56,0.01234705,0.07687208,132.5981,3732.2085,2.239,1.671,42.67,0.254,0,4.337
4050,16.32725,-3.0323,3.68,6.6,0.0120248,0.07687208,1367.9503,3713.8899,2.32,2.134,34.52,0.08,0,3.466
4051,5.18215,-1.7863,6.58,10.56,0.008847317,0.07687208,1863.5924,3732.1968,1.655,0.936,-17.52,0.434,0,3.075
4052,4.697994,-1.6798,7.28,6.6,0.007604593,0.07687208,2010.5234,3739.7549,1.042,0.987,5.14,0.053,0,2.996
4053,2.825435,-1.1277,6.95,10.56,0.009937274,0.07687208,3863.5518,3974.3071,1.015,0.483,82.26,0.524,0,2.503
4054,22.78004,-3.3939,3.55,7.26,0.01176468,0.07687208,4060.1646,3666.1309,2.493,2.242,-3.08,0.101,0,3.604
4055,8.37821,-2.3079,7.32,10.56,0.01073066,0.07687208,2507.9272,3863.9854,1.798,1.182,-43.27,0.342,0,4.08
4056,2.701313,-1.0789,7.53,9.24,0.01064664,0.07687208,1896.8107,3946.1836,0.759,0.564,-48.19,0.256,0,2.578
4057,3.93679,-1.4879,7.4,7.92,0.009452756,0.07687208,3835.8616,3712.9746,1.396,0.718,-50.62,0.485,0,3.036
4058,47.60647,-4.1942,4.51,8.58,0.01245764,0.07687208,4059.0798,3705.4905,5.236,2.465,-11.16,0.529,0,6.553
4059,12.4822,-2.7407,5.84,7.92,0.009404158,0.07687208,1021.5389,3670.1929,2.386,1.594,-70.79,0.332,0,4.446
4060,4.008997,-1.5076,8.38,3.96,0.01208487,0.07687208,3043.9827,3680.7053,0.91,0.685,-56.46,0.248,0,3.064
4061,9.150372,-2.4036,4.67,7.26,0.0139904,0.07687208,31.8714,3626.7588,2.204,1.557,16,0.293,0,3.743
4062,93.501,-4.927,4.59,6.6,0.008372647,0.07687208,971.1171,3409.1726,4.504,4.127,-32.29,0.084,0,6.407
4063,13.06874,-2.7906,6.14,10.56,0.01022938,0.07687208,750.3366,3701.7017,2.311,1.577,63.19,0.318,0,4.223
4064,6.137568,-1.97,6.42,7.92,0.0106247,0.07687208,3702.1528,3719.7202,1.572,1.331,-7.5,0.153,0,3.428
4065,26.42837,-3.5552,6.54,10.56,0.009682546,0.07687208,2660.9182,3725.1758,2.524,2.324,-45.82,0.079,0,5.995
4066,12.59504,-2.7505,6.65,10.56,0.01040998,0.07687208,2311.5249,3715.8057,2.046,1.675,-85.25,0.181,0,4.376
