NUMBER,X_IMAGE,Y_IMAGE,FLUX_AUTO,MAG_AUTO,A_IMAGE,B_IMAGE,KRON_RADIUS,PETRO_RADIUS,FLUX_RADIUS,ELLIPTICITY,THETA_IMAGE,BACKGROUND,THRESHOLD,ISOAREA_IMAGE,CLASS_STAR
1664,222.5626,2310.2485,1.768246,26.3811,1.054,0.476,5.46,5.94,1.829,0.549,81.46,0.002164079,0.0815596,6,0
1665,1133.6252,2315.1123,5.634359,25.1229,1.711,1.001,7.06,10.56,3.507,0.415,62.96,0.0007302338,0.0815596,10,0
1666,1704.6027,2334.4963,18.04908,23.8589,2.553,2.13,5.25,9.24,4.652,0.166,-48.7,0.0006523376,0.0815596,59,0
1667,2239.6355,2322.5967,10.98731,24.3978,1.646,1.242,7.9,10.56,5.241,0.245,-30.1,0.001115137,0.0815596,18,0
1668,3483.9807,2317.52,5.126162,25.2255,1.534,0.552,7.51,10.56,3.425,0.64,-58.1,0.0005406606,0.0815596,7,0
1669,1089.5968,2335.0481,14.96244,24.0625,2.127,1.49,7.32,10.56,5.729,0.299,-54.15,0.0002805641,0.0815596,32,0
1670,3612.416,2323.7214,3.020213,25.7999,1.036,0.475,7.45,9.24,2.688,0.542,81.82,1.623181e-05,0.0815596,5,0
1671,3479.7378,2319.4143,1.724371,26.4084,0.753,0.448,6.51,10.56,1.665,0.405,-19.85,0.0005406606,0.0815596,4,0
1672,3632.2336,2327.4846,5.013668,25.2496,1.685,0.411,8.17,10.56,3.612,0.756,54.89,-0.0004513903,0.0815596,6,0
1673,2430.1719,2340.5713,23.34091,23.5797,3.692,2.071,4.97,7.92,5.017,0.439,-19.7,0.0002983074,0.0815596,89,0
1674,1023.6036,2361.5071,60.47977,22.546,3.463,3.203,4.24,5.94,4.837,0.075,-64.77,0.0008942293,0.0815596,180,0
1675,870.3975,2342.0918,14.00495,24.1343,2.42,1.997,5.28,7.26,4.07,0.175,85.73,0.001453529,0.0815596,52,0
1676,1108.233,2339.9685,16.67355,23.9449,1.97,1.718,7.58,10.56,6.807,0.128,86.07,0.0007463474,0.0815596,30,0
1677,784.4791,2356.344,62.16728,22.5161,4.479,2.95,4.53,6.6,5.89,0.341,-8.05,-0.0002207529,0.0815596,199,0
1678,665.6993,2343.2583,15.33107,24.0361,2.403,1.64,6.24,10.56,4.679,0.317,-43.96,-0.0005704238,0.0815596,46,0
1679,73.6478,2336.4241,4.877408,25.2795,1.016,0.633,8.19,10.56,3.623,0.377,-82.8,0.0005406821,0.0815596,7,0.001
1680,2138.9934,2342.0715,11.56208,24.3424,1.606,1.238,8.01,10.56,5.788,0.229,9.18,0.001209978,0.0815596,18,0
1681,4193.1323,2345.5583,13.06587,24.2097,1.67,1.553,7.68,10.56,5.73,0.07,-67.15,-0.0003559864,0.0815596,21,0
1682,3863.4343,2356.5469,24.27873,23.5369,2.313,1.751,7.78,10.56,6.67,0.243,13.1,0.001680929,0.0815596,36,0
1683,1564.67,2342.6799,5.89311,25.0741,1.109,0.637,7.92,10.56,4.172,0.426,-44.87,0.001358269,0.0815596,7,0
1684,1471.6072,2348.8604,13.18069,24.2002,1.942,1.427,7.06,10.56,5.001,0.265,-12.59,0.000774654,0.0815596,29,0
1685,2952.4348,2344.3403,3.866565,25.5317,1.295,0.501,7.94,10.56,3.034,0.613,39.5,0.0008781635,0.0815596,9,0
1686,4181.1074,2350.4397,10.26192,24.4719,1.859,1.181,7.93,7.26,6.315,0.365,59.97,-5.06059e-05,0.0815596,9,0
1687,36.7416,2343.5955,5.729663,25.1047,0.971,0.648,8.83,8.58,4.003,0.333,17.92,0.0005441279,0.0815596,4,0
1688,270.9322,2383.6321,49.62817,22.7607,4.124,2.916,4.84,6.6,5.765,0.293,-53.57,0.00198623,0.0815596,177,0
