NUMBER,X_IMAGE,Y_IMAGE,FLUX_AUTO,MAG_AUTO,A_IMAGE,B_IMAGE,KRON_RADIUS,PETRO_RADIUS,FLUX_RADIUS,ELLIPTICITY,THETA_IMAGE,BACKGROUND,THRESHOLD,ISOAREA_IMAGE,CLASS_STAR
1088,1180.5676,1556.5515,50.17508,22.7488,3.352,2.737,5.09,9.24,5.035,0.183,50.59,0.0003367021,0.08148756,145,0
1089,2651.2061,1534.3372,7.059438,24.8781,1.39,1.228,7.18,7.26,3.791,0.116,-69.39,0.0001052981,0.08148756,15,0
1090,3411.9668,1537.8696,15.12913,24.0505,1.847,1.303,7.91,10.56,6.143,0.295,48.71,0.0003565827,0.08148756,22,0
1091,520.6226,1541.2833,7.876535,24.7592,1.598,1.248,6.4,6.6,3.208,0.219,74.67,0.0007762155,0.08148756,20,0
1092,1884.0786,1541.0713,12.27931,24.2771,1.859,1.523,6.93,10.56,4.646,0.181,16.38,0.0005979326,0.08148756,28,0
1093,3806.6526,1566.8706,76.69363,22.2881,3.495,3.116,5.84,10.56,6.066,0.108,30.92,0.001801775,0.08148756,185,0
1094,376.8726,1539.496,5.447572,25.1595,1.339,0.879,7.61,10.56,3.312,0.344,-73.51,0.0004655165,0.08148756,9,0
1095,2980.5171,1593.744,153.2625,21.5364,4.513,4.26,4.64,7.26,6.062,0.056,-67.95,-0.0001410057,0.08148756,380,0.001
1096,3894.4451,1540.3376,13.92947,24.1402,1.682,1.356,7.61,10.56,5.733,0.194,-7.28,0.003085734,0.08148756,21,0.001
1097,2878.0417,1545.095,9.407803,24.5663,1.819,1.256,7.07,6.6,4.959,0.31,62.49,0.000164698,0.08148756,20,0
1098,67.3938,1538.5292,6.277876,25.0055,1.089,0.974,7.4,5.94,3.852,0.106,46.42,0.0002375383,0.08148756,12,0
1099,3949.866,1544.328,8.025044,24.7389,1.518,1.127,7.43,7.92,3.961,0.257,-52.58,0.002230152,0.08148756,15,0
1100,3078.5845,1543.2378,3.418561,25.6654,1.421,0.431,7.74,10.56,2.737,0.696,-79.87,0.0002568531,0.08148756,6,0
1101,1424.1523,1550.8695,10.36594,24.461,1.76,1.388,6.68,10.56,3.929,0.212,78.87,0.0003478405,0.08148756,27,0
