OBJ_ID,X,Y,BRIGHTNESS,MAGNITUDE,SEMI_MAJOR,SEMI_MINOR,MAX_X,MAX_Y,SN,ELLIPTICITY,POSITION_ANGLE,SKY,STD,AREA,UPPERLIMIT
732,499.451,428.534,166.24,21.448,15.57,10.747,533,479,38.715,0.31,-78.59,0.001763,0.0543,2920,2.7977
733,303.719,555.093,75.348,22.307,21.171,8.501,346,593,22.244,0.598,46.199,0.002206,0.054,2151,2.9962
734,297.481,393.397,29.496,23.326,8.765,7.02,315,417,13.891,0.199,47.938,0.001574,0.05422,850,1.8211
735,231.81,442.599,54.129,22.666,14.435,9.501,253,471,18.795,0.342,-71.826,0.001211,0.05366,1568,1.9955
736,344.23,377.615,31.383,23.258,9.038,6.647,369,394,14.201,0.265,16.864,0.001865,0.05429,922,1.8945
737,252.582,544.398,21.653,23.661,10.212,6.444,273,563,11.11,0.369,-16.836,0.002449,0.05375,734,1.6355
738,303.577,489.995,25.362,23.49,10.969,9.163,322,508,11.495,0.165,9.616,0.002437,0.05387,983,1.5328
739,317.719,520.409,5.4193,25.165,6.283,2.915,326,530,5.275,0.536,-46.333,0.002219,0.054,210,0.8831
740,271.259,396.468,10.74,24.422,11.063,4.635,290,411,6.308,0.581,29.641,0.001402,0.05417,602,1.3443
741,324.217,533.525,6.8568,24.91,8.804,3.833,345,542,5.08,0.565,5.764,0.002143,0.05407,381,1.1045
742,1500.302,1686.076,3.8889,25.525,4.228,2.987,1507,1696,4.415,0.293,-76.167,0.0004204,0.05416,150,0.79065
743,3268.638,1692.181,5.41,25.167,6.354,3.45,3280,1699,4.974,0.457,-2.059,0.001183,0.05455,251,0.85489
744,283.379,1700.988,6.3775,24.988,4.181,3.437,292,1709,6.267,0.178,34.752,0.002288,0.05465,203,0.81943
745,2129.777,1717.463,11.953,24.306,7.98,3.488,2145,1729,8.646,0.563,34.08,-0.0003241,0.05501,367,1.0565
746,983.987,357.16,10.126,24.486,6.711,4.954,1000,369,6.931,0.262,-22.131,0.0004159,0.0543,426,1.232
747,807.021,359.87,4.9116,25.272,5.003,2.758,817,366,5.32,0.449,-0.517,0.0003162,0.05391,176,0.72462
748,1089.486,1727.559,29.852,23.313,6.333,5.008,1106,1742,15.804,0.209,-30.665,0.0001253,0.05452,586,1.4013
749,3410.269,376.667,18.092,23.856,8.051,5.494,3425,393,10.798,0.318,-55.13,0.001662,0.05445,539,1.3252
750,1751.736,381.473,6.1816,25.022,4.383,2.991,1759,390,6.464,0.318,64.704,0.0004952,0.05414,176,0.79435
751,1066.125,396.998,41.361,22.959,7.81,5.277,1083,413,19.153,0.324,-38.764,5.037e-05,0.05458,764,1.3955
752,706.379,401.344,4.3315,25.408,4.26,2.705,713,410,4.88,0.365,-63.881,0.001867,0.05455,161,0.6742
753,1423.001,1743.345,53.046,22.688,12.683,6.351,1451,1774,19.892,0.499,56.073,0.0004754,0.05433,1262,2.1009
754,3127.393,1733.351,5.2707,25.195,4.129,3.5,3137,1742,5.268,0.152,19.844,-0.000436,0.05404,191,0.81685
755,2981.729,1754.459,16.619,23.948,7.096,6.42,3000,1767,10.164,0.095,-33.013,-0.0002342,0.05436,520,1.2879
756,701.612,1757.555,5.6586,25.118,5.85,3.68,710,1766,5.501,0.371,-57.97,0.0005733,0.05438,218,0.94249
757,4019.184,1761.577,5.2498,25.2,6.161,3.134,4027,1773,4.998,0.491,-77.269,0.0003634,0.05444,218,0.84455
758,1859.177,448.099,50.319,22.746,14.539,8.86,1887,476,17.609,0.391,55.315,0.00134,0.05455,1603,2.3024
759,1266.373,1765.268,16.856,23.933,6.185,4.099,1278,1783,11.311,0.337,72.911,0.0006617,0.05441,394,1.1316
760,430.385,1769.124,5.8652,25.079,5.159,3.117,439,1778,6.223,0.396,19.338,0.000455,0.05467,175,0.74428
761,3026.711,431.722,7.5021,24.812,6.925,3.486,3037,442,6.415,0.497,51.645,0.0008124,0.05417,273,0.93145
762,1152.15,444.787,7.3944,24.828,9.459,3.678,1163,464,5.621,0.611,-72.01,-0.0004732,0.05436,356,1.2854
763,2089.187,724.107,4194.1,17.943,28.947,14.834,2205,838,253.68,0.488,-48.976,0.00102,0.05451,20663,NA
764,2096.064,576.038,63.395,22.495,18.62,8.181,2126,618,21.144,0.561,66.515,0.001589,0.05544,1578,2.3166
765,2170.788,669.558,29.624,23.321,10.062,8.123,2192,692,13.076,0.193,-74.092,0.001428,0.05481,1021,1.8802
766,2053.97,814.461,14.756,24.078,13.106,6.072,2078,835,7.788,0.537,-33.033,0.001838,0.0543,751,1.5296
767,1481.58,453.667,20.866,23.701,8.034,4.761,1497,470,11.848,0.407,-53.858,-0.000575,0.05436,566,1.2983
768,3572.402,567.646,28.377,23.368,13.968,5.7,3601,587,14.285,0.592,-9.36,0.0007498,0.05413,748,1.5456
769,666.971,475.555,80.929,22.23,12.425,6.801,694,507,26.159,0.453,-57.889,6.881e-05,0.05474,1576,2.2441
770,1450.602,1820.344,61.644,22.525,10.203,7.449,1473,1838,22.862,0.27,-5.836,0.000927,0.05458,1203,1.7724
771,1436.056,1791.236,8.3392,24.697,7.034,3.454,1447,1805,6.76,0.509,43.709,0.0007252,0.05454,300,0.94897
772,1443.188,1777.798,7.6609,24.789,4.913,4.033,1453,1787,6.854,0.179,36.162,0.0006418,0.0544,241,1.0244
773,1500.127,471.159,11.31,24.366,7.56,5.965,1511,485,7.199,0.211,-64.109,-0.0006571,0.05436,496,1.2801
774,2432.255,1785.694,8.3625,24.694,7.901,3.626,2447,1795,6.29,0.541,-27.041,8.894e-05,0.05424,356,1.1836
775,2455.125,490.432,13.125,24.205,9.159,3.548,2465,511,9.191,0.613,-69.534,-0.0002793,0.05415,391,1.1401
776,1123.323,487.818,3.5917,25.612,3.623,2.832,1132,494,4.371,0.218,24.238,0.0004152,0.05443,133,0.53399
777,517.172,1797.876,10.303,24.468,6.315,5.464,530,1809,7.563,0.135,-19.684,0.0007244,0.05469,370,1.0425
778,2749.614,1812.409,10.513,24.446,9.706,4.212,2766,1825,7.344,0.566,-38.378,-0.000102,0.05475,412,1.1897
779,3200.743,509.481,18.698,23.821,12.393,5.64,3220,528,10.213,0.545,42.021,0.0008318,0.05406,670,1.5335
780,3982.74,511.037,11.366,24.361,5.52,4.095,3991,523,8.927,0.258,-70.241,-0.0002667,0.0544,318,1.0473
781,122.053,511.55,10.214,24.477,6.603,3.877,138,522,7.99,0.413,-24.072,0.0001505,0.0536,326,1.0299
782,4021.953,599.996,44.708,22.874,7.317,6.545,4039,617,19.949,0.106,27.254,0.0001586,0.05408,820,1.4683
783,4048.269,592.196,43.136,22.913,11.227,8.068,4069,617,17.44,0.281,-79.669,0.0002286,0.05416,1147,1.8753
784,1206.36,525.001,18.649,23.823,7.742,5.703,1222,543,11.299,0.263,46.406,-0.0003038,0.05388,514,1.5635
785,1228.419,533.981,14.332,24.109,7.234,5.153,1243,547,9.65,0.288,-77.826,-0.0005517,0.05386,435,1.106
786,3001.315,582.954,7.9685,24.747,5.628,3.58,3015,592,6.932,0.364,-3.332,-0.0001564,0.0542,257,0.88615
787,2152.113,598.293,12.738,24.237,11.602,5.2,2172,611,7.928,0.552,-31.246,0.002078,0.0549,512,1.1871
788,3871.417,545.271,29.446,23.327,11.763,6.076,3901,566,14.118,0.483,-37.975,-0.0002562,0.05469,826,1.8298
789,2873.916,600.485,6.1028,25.036,5.886,3.2,2883,611,5.769,0.456,-52.762,-0.000207,0.05448,223,0.83126
790,3942.804,540.499,5.3678,25.176,4.434,3.135,3950,549,5.562,0.293,58.108,-0.0003878,0.05435,174,0.70696
791,3402.897,616.019,7.7236,24.78,5.558,3.888,3418,624,6.475,0.301,19.383,0.001328,0.05503,277,0.91745
792,1528.177,556.088,23.438,23.575,11.17,7.018,1551,573,11.344,0.372,-4.04,-0.0003063,0.05475,839,1.4596
793,2814.74,643.789,113.22,21.865,9.493,7.869,2845,665,34.076,0.171,-3.798,0.0001909,0.05455,1632,1.9927
794,2530.565,584.15,36.922,23.082,21.913,13.357,2567,626,13.659,0.39,-55.605,-5.448e-06,0.05417,1474,2.1171
795,1623.711,641.835,38.642,23.032,7.943,6.248,1640,660,17.772,0.213,-47.283,0.0006945,0.05456,811,1.5108
796,1981.292,575.727,28.199,23.374,11.344,8.358,2009,598,11.971,0.263,-12.733,0.00067,0.05484,1102,1.8959
797,2920.194,1861.051,257.07,20.975,11.021,9.176,2950,1891,56.667,0.167,-84.576,0.0005116,0.05422,2462,2.8958
798,2932.737,1822.747,68.301,22.414,8.405,7.376,2958,1843,24.989,0.122,-24.899,0.0002052,0.05418,1177,1.691
799,678.004,593.168,71.478,22.365,15.25,7.7,717,623,23.628,0.495,34.331,-0.0003064,0.05435,1584,2.0862
800,2726.294,656.55,83.973,22.19,9.278,7,2753,682,28.325,0.245,18.547,0.0002867,0.05372,1342,2.0235
801,2723.822,698.714,42.788,22.922,8.126,6.137,2742,725,18.893,0.245,69.945,-0.0004289,0.05393,870,1.8489
802,3125.362,606.311,24.577,23.524,6.807,5.359,3141,621,13.673,0.213,-86.505,0.000858,0.05398,573,1.5421
803,3148.171,589.351,26.306,23.45,8.101,6.01,3167,607,13.461,0.258,16.9,0.001035,0.05391,702,1.517
804,747.607,654.616,4.9367,25.266,4.404,3.16,756,661,5.113,0.282,-33.836,0.0003263,0.05461,193,0.73591
805,3697.187,590.017,8.9844,24.616,6.101,4.123,3710,601,7.318,0.324,-16.923,-0.0004419,0.05362,301,1.086
806,943.421,610.023,40.818,22.973,8.115,6.319,968,627,18.554,0.221,8.398,-0.0002637,0.05445,817,1.5425
807,3599.9,612.974,3.9248,25.515,4.042,2.818,3608,620,4.694,0.303,-10.666,0.0008301,0.05398,147,0.71106
808,2892.187,632.214,10.942,24.402,6.327,4.286,2903,647,7.905,0.323,80.869,0.0005229,0.05446,369,1.2171
