OBJ_ID,X,Y,BRIGHTNESS,MAGNITUDE,SEMI_MAJOR,SEMI_MINOR,MAX_X,MAX_Y,SN,ELLIPTICITY,POSITION_ANGLE,SKY,STD,AREA,UPPERLIMIT
3973,2387.061,3950.62,46.032,22.842,7.721,6.075,2405,3967,19.922,0.213,30.037,0.003601,0.05417,857,2.0326
3974,2371.817,3936.4,3.0034,25.806,3.709,3.123,2380,3944,3.809,0.158,9.128,0.003385,0.05416,125,0.7269
3975,2434.151,3892.386,2.775,25.892,3.575,2.075,2440,3898,3.903,0.42,10.694,0.004461,0.0544,105,0.6584
3976,2682.544,3629.243,61.129,22.534,14.161,5.374,2714,3643,22.525,0.621,0.285,0.004072,0.05502,1177,2.4115
3977,2729.25,3644.453,63.05,22.501,13.114,5.885,2761,3660,23.854,0.551,-9.004,0.005073,0.05505,1099,2.211
3978,1331.424,3629.986,9.8668,24.515,7.883,5.453,1345,3647,6.821,0.308,74.837,0.004384,0.05466,411,1.4938
3979,151.79,3543.4,43.652,22.9,10.988,5.482,167,3569,18.917,0.501,59.943,0.003663,0.05453,880,2.0969
3980,147.089,3508.712,21.609,23.663,7.377,5.348,159,3526,12.248,0.275,-86.039,0.003909,0.05426,560,1.535
3981,3066.957,3501.613,3.6061,25.607,3.649,3.332,3076,3509,4.228,0.087,8.791,0.003537,0.05413,142,0.76654
3982,962.649,3630.924,9.6418,24.54,6.065,3.845,971,3643,7.772,0.366,-54.114,0.003583,0.05458,296,1.0498
3983,3089.531,3634.524,6.5406,24.961,5.631,4.168,3099,3644,5.725,0.26,-70.529,0.004077,0.05463,259,1.1007
3984,2474.938,3516.266,7.3998,24.827,10.499,4.202,2489,3533,5.505,0.6,55.594,0.004533,0.05482,369,1.2378
3985,3724.391,3640.938,9.9473,24.506,7.854,3.674,3735,3655,7.481,0.532,60.569,0.003097,0.05467,344,1.251
3986,2920.844,3644.683,8.1843,24.718,7.783,3.687,2934,3657,6.682,0.526,-52.106,0.003349,0.05437,298,1.0565
3987,2017.888,3522.041,33.201,23.197,8.229,6.507,2039,3540,15.63,0.209,-38.201,0.003502,0.05518,786,1.932
3988,3896.883,3517.68,4.3098,25.414,6.291,3.292,3906,3528,4.243,0.477,-44.838,0.0041,0.05517,203,0.90917
