NUMBER,X_IMAGE,Y_IMAGE,FLUX_AUTO,MAG_AUTO,A_IMAGE,B_IMAGE,KRON_RADIUS,PETRO_RADIUS,FLUX_RADIUS,ELLIPTICITY,THETA_IMAGE,BACKGROUND,THRESHOLD,ISOAREA_IMAGE,CLASS_STAR
457,521.1488,635.5742,30.6666,23.2833,3.508,2.42,5.08,8.58,5.675,0.31,-80.42,0.0002999157,0.08232503,107,0
458,442.1408,610.5497,2.333926,26.0798,0.905,0.617,6.87,7.26,2.049,0.318,-80.14,-4.703345e-05,0.08232503,5,0
459,3569.9443,683.5981,300.6181,20.805,7.162,5.065,4.13,5.94,7.999,0.293,32.86,0.001950648,0.08232503,733,0.001
460,626.3595,662.4091,117.4977,21.8249,4.491,3.903,4.25,6.6,5.99,0.131,-39.22,0.002758785,0.08232503,312,0
461,3005.2021,611.3881,1.40642,26.6297,0.758,0.446,5.85,8.58,1.595,0.411,18.64,-0.002273964,0.08232503,4,0
462,2516.002,615.2015,3.536632,25.6285,0.81,0.501,8.29,7.92,3.295,0.382,-56.3,0.000725563,0.08232503,3,0.079
463,2725.9436,656.2867,87.67265,22.1428,5.359,3.588,4.76,7.26,6.998,0.33,16.78,0.0001585207,0.08232503,287,0
464,2890.5288,632.15,11.14145,24.3826,2.332,1.587,6.01,9.24,4.25,0.319,-26.29,0.0006800025,0.08232503,32,0
465,676.4211,651.5941,45.51062,22.8547,2.926,2.789,4.55,6.6,4.325,0.047,-55.74,-0.0003687411,0.08232503,130,0
466,2589.1458,670.1906,75.75391,22.3015,3.93,3.881,4.23,6.6,5.565,0.012,-42.72,-0.0002322951,0.08232503,246,0
467,2388.4795,645.4452,22.21713,23.6333,2.337,1.877,7.31,10.56,6.804,0.197,-47.45,-0.0002614495,0.08232503,48,0
468,3294.7449,629.7527,3.059652,25.7858,0.955,0.529,7.95,5.94,2.659,0.446,44.42,0.0002568121,0.08232503,6,0
469,2508.075,637.02,7.146184,24.8648,2.311,0.913,6.65,10.56,3.935,0.605,26.57,0.0005117499,0.08232503,13,0
470,3294.3171,632.646,3.730178,25.5707,0.853,0.476,8.51,10.56,3.279,0.441,80.11,0.0002739724,0.08232503,3,0.002
471,429.6935,678.474,83.21478,22.1995,4.144,3.994,4.14,7.26,6.163,0.036,31,0.0006167592,0.08232503,265,0
472,334.8703,666.646,54.09806,22.667,3.351,3.198,4.73,7.92,5.037,0.046,-3.43,0.0009192233,0.08232503,167,0
473,3257.147,642.4634,8.474102,24.6798,1.832,1.116,6.74,10.56,4.146,0.391,-3.95,0.0002027891,0.08232503,18,0
474,1487.5972,638.1718,3.408199,25.6687,0.782,0.442,9.06,7.92,2.992,0.434,-70.79,-0.0002916217,0.08232503,5,0.001
475,3395.4587,774.163,1253.224,19.2549,8.733,7.653,3.5,5.28,9.35,0.124,72.31,0.001600448,0.08232503,1766,0.003
476,656.7899,680.7979,53.78514,22.6733,4.518,3.005,5.58,9.24,6.991,0.335,-42.7,0.0008562652,0.08232503,170,0
477,3426.7026,643.3689,3.043697,25.7915,1.265,0.63,7.95,4.62,2.337,0.502,-36.02,0.0006155605,0.08232503,7,0
478,1273.5719,673.3156,28.05727,23.3799,3.7,2.406,5.6,6.6,6.182,0.35,-38.62,-0.0007736001,0.08232503,94,0
