NUMBER,X_IMAGE,Y_IMAGE,FLUX_AUTO,MAG_AUTO,A_IMAGE,B_IMAGE,KRON_RADIUS,PETRO_RADIUS,FLUX_RADIUS,ELLIPTICITY,THETA_IMAGE,BACKGROUND,THRESHOLD,ISOAREA_IMAGE,CLASS_STAR
363,1372.6113,281.0029,5.736938,25.1033,1.631,0.943,6.61,9.9,3.648,0.422,26.76,0.006096102,0.0741638,12,0
364,2047.7679,273.5604,2.208062,26.14,0.75,0.448,8.18,4.62,2.475,0.402,20.77,0.004065165,0.0741638,3,0.002
365,3638.5378,287.3907,10.08286,24.491,1.6,1.458,7.91,5.94,6.381,0.089,60.64,0.002577688,0.0741638,18,0
366,35.7258,319.1072,53.33913,22.6824,3.353,2.922,6.55,10.56,7.681,0.129,88.26,0.006257077,0.0741638,136,0
367,3295.218,291.7587,8.019883,24.7396,1.69,1.596,6.36,9.24,3.823,0.056,-20.1,0.006972032,0.0741638,25,0
368,2001.007,283.4774,2.676893,25.9309,0.862,0.694,6.91,7.92,2.402,0.195,-89.03,0.004404582,0.0741638,6,0
369,4152.8955,306.2439,25.98082,23.4634,2.608,2.16,6.45,8.58,5.635,0.172,88.8,0.006644467,0.0741638,68,0
370,3714.8145,309.2409,39.962,22.9959,3,2.661,5.04,7.26,4.379,0.113,-8.84,0.0032475,0.0741638,125,0
371,1586.063,292.1495,13.57079,24.1685,1.65,1.388,7.93,10.56,5.54,0.159,86.03,0.008129032,0.0741638,22,0
372,2920.1289,287.5779,8.069194,24.7329,1.49,0.825,8.59,10.56,4.738,0.446,-41.77,0.0017952,0.0741638,11,0
373,3556.4751,310.68,41.54446,22.9537,2.938,2.64,5.42,7.26,4.962,0.102,59.8,0.00344648,0.0741638,125,0
374,1509.2393,385.8693,453.017,20.3597,6.251,6.109,4.29,5.94,6.991,0.023,-81.87,0.01065882,0.0741638,960,0.028
375,1036.286,318.2904,30.88357,23.2757,2.483,2.386,7.01,10.56,7.024,0.039,41.79,0.007240206,0.0741638,76,0
376,3219.1311,307.8945,31.51002,23.2539,3.216,2.288,5.93,9.9,5.379,0.288,-6.95,0.00446926,0.0741638,98,0
377,1592.0833,303.3282,16.33939,23.9669,2.014,1.675,6.65,10.56,4.916,0.168,-89.22,0.008329968,0.0741638,39,0
378,1365.3883,295.5674,9.917068,24.509,1.599,1.394,7.19,10.56,4.683,0.128,61.76,0.006402088,0.0741638,22,0
379,360.3507,288.0179,5.365145,25.176,1.318,0.555,8.09,10.56,3.737,0.579,29.01,0.008676576,0.0741638,6,0
380,3500.3472,309.775,21.47225,23.6703,2.433,2.228,5.82,7.92,4.458,0.084,-15.01,0.004689873,0.0741638,76,0
381,3256.6663,320.1417,46.69645,22.8268,3.671,2.502,6.4,10.56,6.869,0.318,-30.3,0.005356853,0.0741638,128,0
382,532.3756,292.5241,4.013692,25.4911,1.435,0.84,7.27,3.5,2.968,0.414,15.55,0.00576529,0.0741638,8,0
383,1359.3652,311.9062,30.39486,23.293,2.753,2.195,5.98,10.56,4.963,0.203,32.72,0.006431561,0.0741638,87,0
384,1063.9561,319.1377,29.3477,23.3311,2.663,2.316,6.28,10.56,5.585,0.13,-62.93,0.007928056,0.0741638,82,0
385,59.6349,316.3264,34.69329,23.1494,2.908,2.033,7.31,10.56,8.361,0.301,39.56,0.006460357,0.0741638,69,0
386,113.422,310.8134,18.40403,23.8377,2.372,1.658,6.97,10.56,5.798,0.301,58.23,0.007081902,0.0741638,46,0
387,752.6735,303.4449,8.321848,24.6995,1.621,1.377,6.58,9.9,3.78,0.151,-67.67,0.008329457,0.0741638,26,0
388,3743.7158,316.6685,28.90394,23.3476,2.672,2.265,5.34,8.58,4.275,0.152,-14.08,0.003696674,0.0741638,95,0
389,3637.9014,296.5925,6.088751,25.0387,1.084,0.741,8.58,10.56,3.914,0.316,73.47,0.002585109,0.0741638,9,0
390,724.8065,319.067,34.87407,23.1437,3.012,2.47,5.88,9.9,5.322,0.18,-15.91,0.007367852,0.0741638,111,0
391,2765.8115,304.492,11.60785,24.3381,2.118,1.205,7.03,10.56,4.727,0.431,-9.4,0.003038332,0.0741638,29,0
392,2013.8369,370.0565,30.4463,23.2912,3.092,2.62,5.76,7.26,5.652,0.153,22.04,0.003804802,0.0741638,106,0
393,1148.7219,308.81,10.82712,24.4137,1.795,1.715,6.48,10.56,4.086,0.045,89.81,0.007893055,0.0741638,35,0
394,2046.5538,306.5048,5.211585,25.2076,1.409,0.834,7.2,7.92,3.317,0.408,-11.17,0.004155483,0.0741638,14,0
395,2361.614,315.665,6.316732,24.9988,1.362,1.347,6.94,3.5,3.723,0.011,-82.87,0.001679756,0.0741638,18,0
396,140.0871,325.9068,21.68738,23.6595,2.308,2.191,6.14,10.56,4.735,0.051,-88.28,0.007260836,0.0741638,63,0
397,1565.9122,313.8136,6.776122,24.9225,1.546,0.946,7.38,10.56,4.129,0.388,51.8,0.008720834,0.0741638,14,0
398,355.0429,311.2895,6.687865,24.9368,1.26,1.049,7.95,10.56,4.434,0.168,87.96,0.008720955,0.0741638,14,0
399,1467.5754,308.2779,2.910169,25.8402,1.015,0.476,7.92,5.28,2.438,0.531,81.38,0.006731206,0.0741638,6,0
400,3266.4033,320.9752,18.79142,23.8151,2.207,1.517,6.65,10.56,5.059,0.313,-33.89,0.005585222,0.0741638,37,0
401,1734.5258,313.9584,8.467526,24.6806,1.588,0.959,8.14,10.56,4.914,0.396,-26.66,0.003251431,0.0741638,16,0
402,1536.6675,327.4289,11.01394,24.3951,2.255,1.392,6.59,6.6,4.58,0.383,-70.02,0.008269128,0.0741638,32,0
403,47.9997,325.1779,19.70443,23.7636,1.973,1.725,7.71,10.56,7.417,0.126,44.8,0.006329143,0.0741638,34,0
404,3776.6501,320.2234,9.244136,24.5853,1.583,1.346,6.43,10.56,3.533,0.149,55.35,0.004749147,0.0741638,29,0
405,2311.2361,309.9955,3.001129,25.8068,0.862,0.587,8.42,4.62,3.21,0.32,-37.15,0.001340447,0.0741638,3,0.001
406,2305.3943,467.0981,108.948,21.907,4.909,3.824,4.94,6.6,6.68,0.221,88.72,0.002762448,0.0741638,331,0.001
407,2497.8271,334.0571,34.10443,23.168,2.965,2.177,5.75,8.58,4.844,0.266,0.47,0.003111877,0.0741638,100,0.001
408,969.7413,322.4059,7.512043,24.8106,1.623,0.961,7.29,10.56,4.298,0.408,-58.82,0.005420628,0.0741638,17,0
409,2160.0195,314.9835,3.448656,25.6559,1.016,0.389,9.25,10.56,3.017,0.617,-58.38,0.001410399,0.0741638,4,0.001
410,3656.8643,349.0027,51.72477,22.7158,2.775,2.704,4.78,5.94,3.913,0.026,-50.81,0.002728164,0.0741638,139,0.001
411,3125.3818,315.5772,4.333719,25.4078,1.161,0.494,8.61,10.56,3.56,0.575,1,0.003619811,0.0741638,7,0
412,1326.9894,319.9887,4.386124,25.3948,0.907,0.535,9.09,10.56,3.763,0.41,44.61,0.006721949,0.0741638,5,0
413,72.148,327.0871,8.552101,24.6698,1.306,0.957,7.94,10.56,4.961,0.267,31.87,0.006463757,0.0741638,14,0
414,2939.8875,375.8625,106.9396,21.9272,4.236,4.054,5.07,7.92,6.388,0.043,65.14,0.005214889,0.0741638,303,0
415,2345.4568,344.4978,17.4527,23.8953,2.473,2.031,5.49,6.6,4.262,0.179,16.16,0.00176048,0.0741638,65,0
416,1909.9844,331.7982,5.381884,25.1727,1.259,0.949,7.89,10.56,3.582,0.246,-18.68,0.001900819,0.0741638,10,0
417,2062.2229,326.9219,4.236331,25.4325,1.138,0.702,8.52,3.5,3.514,0.383,-13.29,0.004080511,0.0741638,8,0
418,402.1596,331.5115,3.237552,25.7245,1.192,0.62,6.9,10.56,2.556,0.48,-45.8,0.008720955,0.0741638,8,0
419,1355.1392,340.7155,11.94892,24.3067,2.165,1.342,6.93,10.56,4.926,0.38,15.21,0.006306859,0.0741638,28,0
420,1792.0911,372.0078,58.52369,22.5817,3.485,2.962,5.4,8.58,5.361,0.15,-49.81,0.00345781,0.0741638,168,0
421,2511.6716,359.3581,33.96193,23.1725,2.952,2.715,5.35,7.92,4.72,0.08,25.28,0.003328794,0.0741638,122,0
422,821.5652,358.6041,25.64813,23.4774,2.552,2.181,5.43,9.9,4.102,0.145,67.72,0.004943978,0.0741638,81,0
